Road #,County,Project Type (REAL),MP,Tab Code,PDS,DS,Field Score,Detour Length (mi),DL-ES,ADT(max),ADT-ES,Exposure Score (MAX%),Risk Index,Rank,Project Type,Latitude,Longitude,Functional Classification
451,PERRY,LANDSLIDE,0.21,451_PER_0.21,9,20,582,5.7,27,1203,9,22.2,129,63,ROCKFALL & LANDSLIDE,37.22660394,-83.16596405,Major Collector
1067,PERRY,ROCKFALL,0.56,1067_PER_0.56,8,12,534,13.33,27,555,9,22.2,119,64,ROCKFALL & LANDSLIDE,37.34265935,-83.24914813,Minor Collector
2019,MAGOFFIN,LANDSLIDE,2.15,2019_MAG_2.15,11,18,516,14.38,27,1244,9,22.2,115,65,LANDSLIDE,37.78269389,-83.09171507,Major Collector
451,PERRY,ROCKFALL,0.21,451_PER_0.21,9,14,510,5.7,27,1203,9,22.2,113,66,ROCKFALL & LANDSLIDE,37.22660394,-83.16596405,Major Collector
205,BREATHITT,ROCKFALL,1.08 & 1.97,205_BRE_1.08-1.97,10,17,468,3.45,9,1733,27,22.2,104,67,ROCKFALL & LANDSLIDE,37.57670413,-83.40280161,Minor Collector
1812,BREATHITT,ROCKFALL,8.6,1812_BRE_3.96-7.93,9,17,546,14.64,27,424,3,18.5,101,68,ROCKFALL & LANDSLIDE,37.59858274,-83.35401752,Minor Collector
1812,BREATHITT,ROCKFALL,3.96,1812_BRE_3.96-7.93,8,20,546,14.16,27,424,3,18.5,101,69,ROCKFALL & LANDSLIDE,37.56082968,-83.36658245,Major Collector
11,OWSLEY,LANDSLIDE,11.26,11_OWS_11.26,15,18,288,7.71,27,1728,27,33.3,96,70,ROCKFALL & LANDSLIDE,37.46579161,-83.68346646,Major Collector
205,BREATHITT,LANDSLIDE,1.04,205_BRE_1.04,10,11,390,3.45,9,1733,27,22.2,87,71,ROCKFALL & LANDSLIDE,37.57608857,-83.40264538,Minor Collector
451,PERRY,LANDSLIDE,3.87,451_PER_3.87,8,18,246,8.91,27,1716,27,33.3,82,72,LANDSLIDE,37.24439189,-83.20007444,Minor Collector
1165,PERRY,LANDSLIDE,6.55,1165_PER_6.55,11,18,330,8.91,27,1426,9,22.2,73,73,ROCKFALL & LANDSLIDE,37.1737885,-83.14736825,Minor Collector
1165,PERRY,ROCKFALL,6.98,1165_PER_6.55-6.98,11,8,294,14.48,27,1426,9,22.2,65,74,ROCKFALL & LANDSLIDE,37.17966386,-83.14800431,Minor Collector
1812,BREATHITT,LANDSLIDE,5.51,1812_BRE_5.51,8,18,84,14.64,27,0,0,16.7,14,75,LANDSLIDE,37.57666511,-83.35820227,Minor Collector
